A4GALT	NM_017436
COL6A1	NM_001848
COL6A2	NM_001849
COL6A3	NM_004369
COL7A1	NM_000094
COL9A3	NM_001853
COLEC11	NM_024027
COMT	NM_000754
COPA	NM_004371
COQ8A	NM_020247
CORO1A	NM_001193333
COX6B1	NM_001863
COX7B	NM_001866
CPA4	NM_016352
CPB2	NM_001872
CPOX	NM_000097
CPS1	NM_001875
CR1	NM_000573
CR2	NM_001006658
CREBBP	NM_004380
CRTAP	NM_006371
CRYAB	NM_001885
CRYBB1	NM_001887
CSF3R	NM_156039
CSRP3	NM_003476
CSTB	NM_000100
CTAGE6	NM_178561
CTC1	NM_025099
CTDP1	NM_004715
CTF1	NM_001330
CTLA4	NM_005214
CTNNB1	NM_001904
CTPS1	NM_001905
CTSC	NM_001814
CUBN	NM_001081
CUL1	NM_003592
CXCR4	NM_003467
CYBA	NM_000101
CYBB	NM_000397
CYCS	NM_018947
CYLD	NM_015247
CYP1A1	NM_001319217
CYP1A2	NM_000761
CYP21A2	NM_000500
CYP26C1	NM_183374
CYP2B6	NM_000767
CYP2C19	NM_000769
CYP2C9	NM_000771
CYP2D6	NM_000106
CYP3A5	NM_000777
DAG1	NM_001165928
DARS2	NM_018122
DCC	NM_005215
DCLRE1B	NM_022836
DCLRE1C	NM_001033855
DDB1	NM_001923
DDB2	NM_000107
DDR2	NM_006182
DDX41	NM_016222
DEK	NM_003472
DES	NM_001927
DHCR24	NM_014762
DHCR7	NM_001360
DHH	NM_021044
DICER1	NM_177438
DIRAS3	NM_004675
DIS3L2	NM_152383
DKC1	NM_001363
DLK1	NM_003836
DLL4	NM_019074
DLX5	NM_005221
DMD	NM_004006
DNAJC19	NM_145261
DNAJC21	NM_001012339
DNAJC5	NM_025219
DNMT1	NM_001130823
DNMT3B	NM_006892
DOCK2	NM_004946
DOCK8	NM_203447
DOK7	NM_173660
DOLK	NM_014908
DSC2	NM_004949
DSE	NM_013352
DSG2	NM_001943
DSP	NM_004415
DSPP	NM_014208
DVL3	NM_004423
EDN3	NM_207034
EGFR	NM_005228
EGR2	NM_000399
EIF2AK3	NM_004836
EIF2B5	NM_003907
EIF4A3	NM_014740
ELANE	NM_001972
ELF4	NM_001421
ELP1	NM_003640
EMD	NM_000117
ENAM	NM_031889
ENO1	NM_001428
ENPP1	NM_006208
EP300	NM_001429
EPB42	NM_000119
EPCAM	NM_002354
EPG5	NM_020964
EPPK1	NM_031308
ERCC2	NM_000400
ERCC3	NM_000122
ERCC4	NM_005236
ERCC5	NM_000123
ERCC6	NM_000124
ERCC8	NM_000082
ERMAP	NM_001017922
ESPN	NM_031475
ESR1	NM_000125
ETNK1	NM_018638
ETV6	NM_001987
EXT1	NM_000127
EYA4	NM_004100
EZH2	NM_004456
F10	NM_000504
F11	NM_000128
F12	NM_000505
F13A1	NM_000129
F13B	NM_001994
F2	NM_000506
F2R	NM_001992
F5	NM_000130
F8	NM_000132
F9	NM_000133
FADD	NM_003824
FAM50B	NM_012135
FANCA	NM_000135
FANCB	NM_001018113
FANCC	NM_000136
FANCE	NM_021922
FANCF	NM_022725
FANCG	NM_004629
FANCI	NM_001113378
FANCM	NM_020937
FAS	NM_000043
FASLG	NM_000639
FBLN5	NM_006329
FBN1	NM_000138
FCGR1A	NM_000566
FCGR2A	NM_021642
FCGR3A	NM_001127593
FCGR3B	NM_001244753
FCN3	NM_003665
FERMT3	NM_178443
FGB	NM_005141
FGF2	NM_001361665
FGF3	NM_005247
FGFR1	NM_023110
FH	NM_000143
FIG4	NM_014845
FKBP10	NM_021939
FKBP14	NM_017946
FKRP	NM_024301
FLCN	NM_144997
FLG	NM_002016
FLNA	NM_001110556
FLNC	NM_001458
FLT3	NM_004119
FMR1	NM_002024
FOXA1	NM_004496
FOXC1	NM_001453
FOXC2	NM_005251
FOXD4	NM_207305
FOXF2	NM_001452
FOXL2	NM_023067
FOXN1	NM_003593
FOXO1	NM_002015
FOXP3	NM_014009
FPR1	NM_002029
FRMD7	NM_194277
FSHR	NM_000145
FUBP1	NM_003902
FUS	NM_004960
FUT2	NM_000511
FUT3	NM_000149
FXN	NM_000144
FXR2	NM_004860
G6PC	NM_000151
G6PC3	NM_138387
G6PD	NM_000402
GAA	NM_000152
GALK1	NM_000154
GAN	NM_022041
GARS1	NM_002047
GATA1	NM_002049
GATAD1	NM_021167
GBGT1	NM_021996
GCLC	NM_001498
GCNT2	NM_145655
GCSH	NM_004483
GDAP1	NM_018972
GET1	NM_004627
GFI1	NM_005263
GFI1B	NM_004188
GFPT1	NM_001244710
GGCX	NM_000821
GJA1	NM_000165
GJB2	NM_004004
GJB4	NM_153212
GJB6	NM_001110219
GLA	NM_000169
GLDC	NM_000170
GNA11	NM_002067
GNAQ	NM_002072
GNAS-AS1	NR_002785
GP1BA	NM_000173
GP1BB	NM_000407
GP9	NM_000174
GPC3	NM_004484
GPD1L	NM_015141
GPI	NM_000175
GPR1-AS	NR_104359
GPR101	NM_054021
GPSM2	NM_013296
GREM1	NM_013372
GRIK4	NM_014619
GRM6	NM_000843
GRN	NM_002087
GSDME	NM_001127453
GSR	NM_000637
GSS	NM_000178
GSTP1	NM_000852
GTF2H5	NM_207118
GYPA	NM_002099
GYPB	NM_002100
GYPC	NM_002101
GYS2	NM_021957
H19	NR_002196
H3-3A	NM_002107
HADHA	NM_000182
HAMP	NM_021175
HARS1	NM_002109
HARS2	NM_012208
HAX1	NM_006118
HBA1	NM_000558
HBA2	NM_000517
HBB	NM_000518
HBD	NM_000519
HFE	NM_000410
HK1	NM_033500
HM13	NM_178581
HNF1A	NM_000545
HOXA11	NM_005523
HOXA13	NM_000522
HOXB13	NM_006361
HOXD10	NM_002148
HPS1	NM_000195
HPS3	NM_032383
HPS5	NM_181507
HPS6	NM_024747
HRAS	NM_005343
HRG	NM_000412
HSD17B3	NM_000197
HSPA9	NM_004134
HSPB1	NM_001540
HSPB8	NM_014365
HTR2A	NM_000621
HTR5A	NM_024012
HTT	NM_002111
HYMAI	NR_002768
ICAM4	NM_001544
ICOS	NM_012092
IDUA	NM_000203
IFIH1	NM_022168
IFNGR1	NM_000416
IFNGR2	NM_005534
IFNL3	NM_172139
IGF2R	NM_000876
IGFBP3	NM_001013398
IGHMBP2	NM_002180
IGLL1	NM_020070
IGSF1	NM_001170961
IKBKB	NM_001556
IKBKG	NM_003639
IKZF1	NM_006060
IKZF5	NM_001372123
IL10	NM_000572
IL10RA	NM_001558
IL10RB	NM_000628
IL12B	NM_002187
IL12RB1	NM_005535
IL17A	NM_002190
IL17F	NM_052872
IL17RA	NM_014339
IL17RC	NM_153460
IL1RN	NM_173841
IL21	NM_021803
IL21R	NM_181079
IL22	NM_020525
IL2RA	NM_000417
IL2RG	NM_000206
IL7R	NM_002185
ILDR1	NM_001199799
ILK	NM_004517
INO80	NM_017553
INPP5F	NM_001243194
IQSEC2	NM_001111125
IRAIN	NR_126453
IRAK4	NM_016123
IRF7	NM_001572
IRF8	NM_002163
ISG15	NM_005101
ITCH	NM_031483
ITGA2	NM_002203
ITGA2B	NM_000419
ITGAM	NM_000632
ITGB2	NM_000211
ITGB3	NM_000212
ITK	NM_005546
ITM2B	NM_021999
JAG1	NM_000214
JAGN1	NM_032492
JAK1	NM_002227
JAK2	NM_004972
JAK3	NM_000215
JPH2	NM_020433
KARS1	NM_001130089
KBTBD13	NM_001101362
KCNA1	NM_000217
KCNC3	NM_004977
KCND3	NM_004980
KCNE2	NM_172201
KCNE3	NM_005472
KCNE5	NM_012282
KCNJ2	NM_000891
KCNJ5	NM_000890
KCNK9	NM_001282534
KCNN4	NM_002250
KCNQ1OT1	NR_002728
KCNQ4	NM_004700
KCTD7	NM_153033
KDM6A	NM_001291415
KDR	NM_002253
KDSR	NM_002035
KEL	NM_000420
KERA	NM_007035
KIF1B	NM_015074
KIF23	NM_138555
KIT	NM_000222
KITLG	NM_000899
KLF1	NM_006563
KLF10	NM_005655
KLF14	NM_138693
KLLN	NM_001126049
KMT2A	NM_001197104
KMT2E	NM_182931
KRIT1	NM_194456
KRT12	NM_000223
KRT17	NM_000422
KRT6A	NM_005554
KRT83	NM_002282
L1CAM	NM_000425
LAMA2	NM_000426
LAMTOR2	NM_014017
LARGE1	NM_004737
LARS2	NM_015340
LCK	NM_005356
LCT	NM_002299
LDLR	NM_000527
LDLRAP1	NM_015627
LHB	NM_000894
LHFPL5	NM_182548
LIG1	NM_000234
LIG4	NM_002312
LIPT2	NM_001144869
LITAF	NM_001136473
LMAN1	NM_005570
LMBRD1	NM_018368
LMO1	NM_002315
LPIN2	NM_014646
LPL	NM_000237
LRBA	NM_001364905
LRP2	NM_004525
LRPAP1	NM_002337
LRRC8A	NM_019594
LRSAM1	NM_138361
LYZ	NM_000239
LZTR1	NM_006767
MAGEL2	NM_019066
MAGT1	NM_032121
MALT1	NM_006785
MAP2K1	NM_002755
MAP2K2	NM_030662
MAP3K14	NM_003954
MAP3K6	NM_004672
MAPT	NM_016835
MARVELD2	NM_001038603
MAX	NM_002382
MBL2	NM_000242
MC4R	NM_005912
MCM4	NM_182746
MECOM	NM_004991
MED25	NM_030973
MEFV	NM_000243
MEG8	NR_146000
MESP2	NM_001039958
MEST	NM_002402
MESTIT1	NR_004382
MET	NM_001127500
MFN2	NM_014874
MFSD8	NM_152778
MIB1	NM_020774
MIP	NM_012064
MITF	NM_000248
MKRN3	NM_005664
MLF1	NM_022443
MLH1	NM_000249
MLH3	NM_001040108
MLPH	NM_024101
MMAA	NM_172250
MMP21	NM_147191
MOGS	NM_006302
MPL	NM_005373
MPLKIP	NM_138701
MPO	NM_000250
MPZ	NM_000530
MRE11	NM_005591
MS4A1	NM_152866
MSH2	NM_000251
MSH6	NM_000179
MSTN	NM_005259
MSX1	NM_002448
MTHFD1	NM_005956
MTHFR	NM_005957
MTM1	NM_000252
MTMR2	NM_016156
MTOR	NM_004958
MUTYH	NM_001128425
MVK	NM_000431
MYBPC3	NM_000256
MYD88	NM_001172567
MYH6	NM_002471
MYH7	NM_000257
MYH9	NM_002473
MYL2	NM_000432
MYL3	NM_000258
MYLK2	NM_033118
MYO3A	NM_017433
MYO5A	NM_000259
MYO6	NM_004999
MYO7A	NM_000260
MYOM1	NM_003803
MYOT	NM_006790
MYOZ2	NM_016599
MYPN	NM_032578
MYSM1	NM_001085487
NAA60	NM_001083601
NAP1L5	NM_153757
NBEAL2	NM_015175
NBN	NM_002485
NCF1	NM_000265
NCF2	NM_000433
NCF4	NM_013416
NDN	NM_002487
NDRG1	NM_006096
NEB	NM_001271208
NEFL	NM_006158
NEUROD1	NM_002500
NEXN	NM_144573
NFAT5	NM_138713
NFKB1	NM_003998
NFKB2	NM_001322934
NFKBIA	NM_020529
NGF	NM_002506
NHEJ1	NM_024782
NHP2	NM_017838
NKX2-5	NM_004387
NLRC4	NM_001199138
NLRP3	NM_004895
NNAT	NM_005386
NOD2	NM_022162
NOP10	NM_018648
NOTCH1	NM_017617
NPHS1	NM_004646
NPHS2	NM_014625
NPM1	NM_002520
NPPA	NM_006172
NRAS	NM_002524
NSD1	NM_022455
NTHL1	NM_002528
NUP214	NM_005085
OAT	NM_000274
OBSCN	NM_001271223
OPRM1	NM_001008503
ORAI1	NM_032790
OTX2	NM_172337
P2RY1	NM_002563
P2RY12	NM_022788
PALB2	NM_024675
PANK2	NM_153638
PARN	NM_002582
PAX5	NM_016734
PAX6	NM_000280
PCSK6	NM_002570
PCSK9	NM_174936
PDCD10	NM_007217
PDGFRA	NM_006206
PDLIM3	NM_014476
PDP2	NM_020786
PDYN	NM_024411
PFKM	NM_000289
PGM3	NM_015599
PHLDA2	NM_003311
PHOX2B	NM_003924
PIEZO1	NM_001142864
PIGA	NM_002641
PIK3CA	NM_006218
PIK3CD	NM_005026
PIK3R1	NM_181523
PIK3R2	NM_005027
PIN1	NM_006221
PKLR	NM_000298
PKP2	NM_004572
PLA2G4A	NM_024420
PLA2G6	NM_003560
PLAT	NM_000930
PLCG2	NM_002661
PLEKHG5	NM_020631
PLN	NM_002667
PML	NM_033238
PMP22	NM_000304
PMS1	NM_000534
PMS2	NM_000535
PNP	NM_000270
POLE	NM_006231
POLG	NM_002693
POLH	NM_006502
POMT1	NM_007171
POMT2	NM_013382
POU4F3	NM_002700
PPIB	NM_000942
PPIE	NM_001195007
PPM1D	NM_003620
PPOX	NM_001122764
PPT1	NM_000310
PRF1	NM_001083116
PRKAG2	NM_016203
PRKCD	NM_006254
PRKCG	NM_002739
PRKDC	NM_006904
PROC	NM_000312
PROCR	NM_006404
PRPS1	NM_002764
PRSS1	NM_002769
PSEN1	NM_000021
PSEN2	NM_000447
PSENEN	NM_172341
PSTPIP1	NM_003978
PTEN	NM_000314
PTPN11	NM_002834
PTPRC	NM_002838
PTPRZ1	NM_002851
RAB27A	NM_183235
RAB7A	NM_004637
RAC2	NM_002872
RAD21	NM_006265
RAD50	NM_005732
RAD51	NM_002875
RAD51C	NM_058216
RAD51D	NM_002878
RAD54L	NM_003579
RAF1	NM_002880
RAG1	NM_000448
RAG2	NM_000536
RARA	NM_000964
RASGRP2	NM_153819
RAX2	NM_032753
RB1	NM_000321
RBCK1	NM_031229
RBM20	NM_001134363
RBM8A	NM_005105
RECQL4	NM_004260
RETREG1	NM_001034850
RFX5	NM_000449
RFXANK	NM_003721
RFXAP	NM_000538
RHAG	NM_000324
RHBDF2	NM_024599
RHCE	NM_020485
RHD	NM_016124
RHOA	NM_001664
RHOH	NM_004310
RIT1	NM_006912
RMRP	NR_003051
RNASEH1	NM_002936
RNASEH2A	NM_006397
RNASEH2C	NM_032193
RNF168	NM_152617
RNF31	NM_017999
RNF43	NM_017763
RNU4ATAC	NR_023343
ROGDI	NM_024589
ROS1	NM_002944
RPL11	NM_000975
RPL15	NM_001253383
RPL19	NM_000981
RPL26	NM_000987
RPL27	NM_000988
RPL35A	NM_000996
RPL5	NM_000969
RPL9	NM_001024921
RPS10	NM_001014
RPS14	NM_005617
RPS17	NM_001021
RPS19	NM_001022
RPS26	NM_001029
RPS27	NM_001030
RPS7	NM_001011
RPSA	NM_002295
RS1	NM_000330
RSPO2	NM_178565
RTL1	NM_001134888
RUNX1	NM_001754
RYR1	NM_000540
RYR2	NM_001035
S1PR2	NM_004230
SALL1	NM_002968
SALL4	NM_020436
SAMHD1	NM_015474
SART3	NM_014706
SBDS	NM_016038
SBF2	NM_030962
SCN1A	NM_006920
SCN1B	NM_001037
SCN3B	NM_018400
SCN4B	NM_174934
SCN9A	NM_002977
SDHA	NM_004168
SDHAF2	NM_017841
SDHB	NM_003000
SDHC	NM_003001
SDHD	NM_003002
SEC23B	NM_006363
SELENON	NM_020451
SEMA3E	NM_012431
SEMA7A	NM_003612
SEPTIN9	NM_006640
SERPINC1	NM_000488
SERPIND1	NM_000185
SERPINE1	NM_000602
SERPINF2	NM_000934
SERPING1	NM_000062
SETBP1	NM_015559
SETD2	NM_014159
SETX	NM_015046
SF3A1	NM_005877
SGCA	NM_000023
SGCB	NM_000232
SGCD	NM_000337
SGCE	NM_003919
SGCG	NM_000231
SGCZ	NM_139167
SH2D1A	NM_002351
SH3BP1	NM_018957
SH3TC2	NM_024577
SHOC2	NM_007373
SLC13A5	NM_177550
SLC14A1	NM_015865
SLC22A18	NM_002555
SLC25A38	NM_017875
SLC25A4	NM_001151
SLC25A46	NM_138773
SLC26A2	NM_000112
SLC26A3	NM_000111
SLC29A1	NM_001304463
SLC29A3	NM_018344
SLC2A1	NM_006516
SLC35C1	NM_018389
SLC37A4	NM_001164277
SLC40A1	NM_014585
SLC46A1	NM_080669
SLC4A1	NM_000342
SLC52A3	NM_033409
SLCO1B1	NM_006446
SLCO2A1	NM_005630
SLFN14	NM_001129820
SLITRK6	NM_032229
SLX4	NM_032444
SMAD4	NM_005359
SMAD9	NM_001127217
SMARCA2	NM_003070
SMARCA4	NM_001128849
SMARCAL1	NM_014140
SMARCB1	NM_003073
SMC3	NM_005445
SMIM1	NM_001163724
SMN1	NM_000344
SMO	NM_005631
SMPX	NM_014332
SNAI2	NM_003068
SNORD118	NR_033294
SNTA1	NM_003098
SOCS3	NM_003955
SOD1	NM_000454
SOS1	NM_005633
SOX10	NM_006941
SOX2	NM_003106
SP110	NM_080424
SPAST	NM_014946
SPINK5	NM_006846
SPOP	NM_001007228
SPTA1	NM_003126
SPTLC1	NM_006415
SPTLC2	NM_004863
SRC	NM_198291
SRI	NM_003130
SRP72	NM_006947
SRSF2	NM_003016
STAT1	NM_007315
STAT2	NM_005419
STAT3	NM_139276
STAT5B	NM_012448
STAT6	NM_003153
STIM1	NM_003156
STING1	NM_198282
STK11	NM_000455
STK4	NM_006282
STX11	NM_003764
STXBP2	NM_006949
SUFU	NM_016169
SYNE2	NM_182914
SYNE4	NM_001039876
SYNGAP1	NM_006772
SYNM	NM_145728
TACC3	NM_006342
TAP1	NM_000593
TAPBP	NM_003190
TARDBP	NM_007375
TAZ	NM_000116
TBCK	NM_001163436
TBK1	NM_013254
TBX1	NM_080647
TBX20	NM_001077653
TBX4	NM_001321120
TBX5	NM_000192
TBXA2R	NM_001060
TCAP	NM_003673
TCF20	NM_005650
TCF21	NM_003206
TCIRG1	NM_006019
TCN2	NM_000355
TERC	NR_001566
TERF2IP	NM_018975
TERT	NM_198253
TGFB3	NM_003239
TGFBR2	NM_001024847
THBD	NM_000361
THPO	NM_000460
TICAM1	NM_182919
TJP2	NM_004817
TLR3	NM_003265
TMC6	NM_007267
TMC8	NM_152468
TMEM127	NM_017849
TMEM43	NM_024334
TMPRSS2	NM_005656
TMPRSS6	NM_153609
TNFRSF11A	NM_003839
TNFRSF13B	NM_012452
TNFRSF13C	NM_052945
TNFRSF1A	NM_001065
TNFRSF4	NM_003327
TNFSF12	NM_003809
TNNC1	NM_003280
TNNI2	NM_003282
TNNI3	NM_000363
TNNI3K	NM_015978
TNNT1	NM_003283
TNNT3	NM_006757
TOR1A	NM_000113
TP63	NM_003722
TPI1	NM_000365
TPM1	NM_001018005
TPMT	NM_000367
TPP1	NM_000391
TPP2	NM_001330588
TPRN	NM_001128228
TRAF3	NM_145725
TRAF3IP2	NM_147686
TREM2	NM_018965
TREX1	NM_033629
TRIM32	NM_012210
TRIM63	NM_032588
TRNT1	NM_182916
TRPM7	NM_017672
TRPV4	NM_021625
TSC1	NM_000368
TSC2	NM_000548
TSHR	NM_000369
TSPYL1	NM_003309
TTC37	NM_014639
TTC7A	NM_020458
TTR	NM_000371
TUBB1	NM_030773
TXNRD2	NM_006440
TYK2	NM_003331
TYMS	NM_001071
TYROBP	NM_003332
U2AF2	NM_007279
UBE2T	NM_014176
UBE3A	NM_130838
UBQLN2	NM_013444
UGT1A1	NM_000463
UNC13D	NM_199242
UNC93B1	NM_030930
UNG	NM_080911
UROD	NM_000374
USB1	NM_024598
USH1G	NM_173477
VAPB	NM_004738
VCL	NM_014000
VCP	NM_007126
VHL	NM_000551
VIPAS39	NM_001193315
VKORC1	NM_024006
VMA21	NM_001017980
VPS13D	NM_015378
VPS33B	NM_018668
VPS45	NM_007259
VTRNA2-1	NR_030583
VWF	NM_000552
WAS	NM_000377
WDR27	NM_182552
WFS1	NM_006005
WHRN	NM_015404
WIPF1	NM_001077269
WRAP53	NM_018081
WRN	NM_000553
XG	NM_175569
XIAP	NM_001167
XK	NM_021083
XPA	NM_000380
XPC	NM_004628
XRCC1	NM_006297
YARS1	NM_003680
ZAP70	NM_001079
ZBTB24	NM_014797
ZDBF2	NM_020923
ZIC2	NM_007129
ZMPSTE24	NM_005857
ZNF597	NM_152457
ZNF778	NM_001201407
ZRSR2	NM_005089
A1BG	NM_130786
A1CF	NM_014576
A2M	NM_000014
A2ML1	NM_144670
A3GALT2	NM_001080438
A4GNT	NM_016161
AAAS	NM_015665
AACS	NM_023928
AADAC	NM_001086
AADACL2	NM_207365
AADACL3	NM_001103170
AADAT	NM_016228
AAGAB	NM_024666
AAMP	NM_001087
AANAT	NM_001088
AAR2	NM_001271874
AARD	NM_001025357
AARS2	NM_020745
AARSD1	NM_001261434
AASDH	NM_181806
AASDHPPT	NM_015423
AASS	NM_005763
AATF	NM_012138
AATK	NM_001080395
ABAT	NM_020686
ABCA1	NM_005502
ABCA12	NM_173076
ABCA13	NM_152701
ABCA2	NM_001606
ABCA3	NM_001089
ABCA4	NM_000350
ABCA5	NM_172232
ABCA6	NM_080284
ABCA7	NM_019112
ABCA8	NM_001288985
ABCA9	NM_080283
ABCB1	NM_001348946
ABCB10	NM_012089
ABCB4	NM_000443
ABCB7	NM_001271696
ABCB9	NM_019625
ABCC1	NM_004996
ABCC10	NM_001198934
ABCC3	NM_003786
ABCC5	NM_005688
ABCC8	NM_000352
ABCD2	NM_005164
ABCD3	NM_002858
ABCD4	NM_005050
ABCE1	NM_002940
ABCF1	NM_001025091
ABCF2	NM_007189
ABCG1	NM_016818
ABCG4	NM_022169
ABHD1	NM_032604
ABHD10	NM_018394
ABHD12	NM_001042472
ABHD12B	NM_001206673
ABHD13	NM_032859
ABHD14A	NM_015407
ABHD15	NM_198147
ABHD16A	NM_021160
ABHD16B	NM_080622
ABHD17A	NM_001130111
ABHD17B	NM_001025780
ABHD17C	NM_021214
ABHD2	NM_152924
ABHD3	NM_138340
ABHD6	NM_001320126
ABHD8	NM_024527
ABI2	NM_001375670
ABI3	NM_016428
ABI3BP	NM_001375547
ABITRAM	NM_017832
ABL1	NM_005157
ABL2	NM_007314
ABLIM2	NM_001130083
ABLIM3	NM_014945
ABRA	NM_139166
ABRACL	NM_021243
ABRAXAS1	NM_139076
ABRAXAS2	NM_032182
ABT1	NM_013375
ABTB1	NM_172027
ABTB2	NM_145804
ACAA1	NM_001607
ACAA2	NM_006111
ACACA	NM_198834
ACAD10	NM_025247
ACAD11	NM_032169
ACAD9	NM_014049
ACADL	NM_001608
ACADS	NM_000017
ACADVL	NM_000018
ACAN	NM_001369268
ACAP1	NM_014716
ACAP2	NM_012287
ACAP3	NM_030649
ACAT2	NM_005891
ACBD3	NM_022735
ACBD4	NM_001135705
ACBD5	NM_145698
ACBD6	NM_032360
ACBD7	NM_001039844
ACCS	NM_032592
ACCSL	NM_001031854
ACE	NM_000789
ACE2	NM_001371415
ACER1	NM_133492
ACER2	NM_001010887
ACER3	NM_018367
ACHE	NM_000665
ACKR2	NM_001296
ACKR3	NM_020311
ACKR4	NM_016557
ACLY	NM_001096
ACMSD	NM_138326
ACO1	NM_002197
ACO2	NM_001098
ACOD1	NM_001258406
ACOT1	NM_001037161
ACOT12	NM_130767
